STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
36500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE36500.00,48819,20774,74.07380994829738,93986,105.6,1.4,-0.3500000000000001,-20.000000000000004,444250,24925,1625,1.35,550,1.45,42559.55
37000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE37000.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3950,3750,250,5553.8,75,5625.05,42559.55
37000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE37000.00,14688,-19749,-57.34820106281035,82260,97.09,1.55,-0.1499999999999999,-8.823529411764701,100250,9550,1100,1.55,1375,1.65,42559.55
37500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE37500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4000,4625,75,5012.2,25,5122.5,42559.55
37500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE37500.00,6130,-459,-6.966155714068902,38474,89.15,1.45,-0.4499999999999999,-23.684210526315788,91925,8600,475,1.45,1700,1.55,42559.55
38000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE38000.00,16,0,0.0,9,185.38,4820.0,-184.75,-3.6914930815725056,4250,5250,125,4553.5,125,4654.5,42559.55
38000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE38000.00,7101,-1581,-18.21008984105045,53763,80.48,1.5,-0.1999999999999999,-11.764705882352938,116650,6375,1250,1.4,1350,1.5,42559.55
38500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE38500.00,2,1,100.0,5,209.22,4517.15,367.1499999999997,8.84698795180722,4600,5125,75,4030.8,25,4155.4,42559.55
38500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE38500.00,8582,1270,17.36870897155361,39196,72.31,1.45,-0.4499999999999999,-23.684210526315788,80575,5075,150,1.4,625,1.45,42559.55
39000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE39000.00,36,-1,-2.702702702702702,2,99.55,3630.0,-370.0,-9.25,4575,6100,175,3565.5,750,3671.25,42559.55
39000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE39000.00,16975,936,5.835775297711828,70971,63.35,1.3,-0.6499999999999999,-33.33333333333333,140075,19575,2300,1.25,50,1.3,42559.55
39500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE39500.00,18,-1,-5.2631578947368425,10,91.9,3140.0,-510.0,-13.972602739726028,5825,6050,750,3003.1,750,3175.15,42559.55
39500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE39500.00,15036,1200,8.673026886383347,96874,55.05,1.3,-0.55,-29.72972972972973,128375,26200,4650,1.25,4050,1.3,42559.55
39700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE39700.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4875,5700,750,2775.0,750,2977.8,42559.55
